0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Revenue,,,,,,,,
Full-Time Positions,248,286,282,328,328,290,38,38
Class 100 Total Oblig./Approp.,"11,508,747","14,544,961","14,479,641","16,387,696","16,241,156","15,441,156","946,540","800,000"
Class 100 Overtime Oblig./Approp.,"178,404","356,769","284,616","334,400","334,400","525,217","(190,817)","(190,817)"
Sheriff,,,,,,,,
Full-Time Positions,221,226,231,255,255,277,(22),(22)
Class 100 Total Oblig./Approp.,"13,185,820","14,816,967","14,460,864","13,716,268","17,030,163","17,030,163","(3,313,895)",0
Class 100 Overtime Oblig./Approp.,"2,396,278","2,974,326","3,227,620","1,276,185","2,276,185","3,235,305","(1,959,120)","(959,120)"
Streets-Sanitation,,,,,,,,
Full-Time Positions,"1,179","1,157","1,165","1,228","1,228","1,153",75,75
Class 100 Total Oblig./Approp.,"45,985,953","46,123,890","45,307,251","45,145,923","45,179,593","45,179,593","(33,670)",0
Class 100 Overtime Oblig./Approp.,"7,301,880","7,679,471","7,107,251","5,872,157","5,872,157","10,112,454","(4,240,297)","(4,240,297)"
Streets-Transportation,,,,,,,,
Full-Time Positions,510,525,525,561,561,531,30,30
Class 100 Total Oblig./Approp.,"20,594,857","19,834,401","19,782,861","20,824,178","23,090,692","25,490,692","(4,666,514)","(2,400,000)"
Class 100 Overtime Oblig./Approp.,"2,700,135","1,727,954","1,625,324","1,914,223","3,414,223","3,063,941","(1,149,718)","350,282"
Youth Commission,,,,,,,,
Full-Time Positions,1,1,1,2,2,2,0,0
Class 100 Total Oblig./Approp.,"47,000","24,694","50,000","90,000","90,000","90,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
