0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Historical Commission,,,,,,,,,,,
Full-Time Positions,6,6,6,6,6,o,6,6,6,0,0
Class 100 Total Oblig./Approp.,"290,833","336,836","360,867","335,995","335,995",0,"335,995","335,995","335,995",0,0
Class 100 Overtime Oblig./Approp.,853,182,o,0,o,o,o,0,o,0,o
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,35,34,34,33,33,o,33,33,33,0,o
Class 100 Total Oblig./Approp.,"2,111,219","2,070,825","2,020,865","2,085,586","2,085,586",o,"2,017,463","2,085,586","2,085,586","(68,123)",o
Class 100 Overtime Oblig./Approp.,341,0,o,0,0,o,0,o,0,0,o
Human Services,,,,,,,,,,,
Full-Time Positions,"1,721","1,784","1,741","1,802","1,751",51,"1,858","1,802","1,751",107,51
Class 100 Total Oblig ./Approp.,"90,561,664","96,250,356","98,395,991","95,737,121","95,737,121",o,"96,785,305","95,737,121","95,737,121","1,048,184",0
Class 100 Overtime Oblig./Approp.,"8,309,665","11,383,838","8,573,925","7,656,436","7,012,360","644,076","7,732,207","7,656,436","7,012,360","719,847","644,076"
Administration & Management,,,,,,,,,,,
Full-Time Positions,215,232,230,246,221,25,270,246,221,49,25
Class 100 Total Oblig ./Approp.,"8,899,065","10,020,949","10,711,574","11,253,664","11,253,664",o,"11,819,308","11,253,664","11,253,664","565,644",o
Class 100 Overtime Oblig./Approp.,"453,363","739,061","261,148","279,147","380,252","(101,105)","279,146","279,147","380,252","(101,106)","(101,105)"
Performance Mgmt. & Accountability,,,,,,,,,,,
Full-Time Positions,43,51,52,95,95,o,95,95,95,o,o
Class 100 Total Oblig./Approp.,"2,645,400","3,003,740","3,017,163","5,353,214","5,353,214",o,"5,353,214","5,353,214","5,353,214",o,o
Class 100 Overtime Oblig./Approp.,"73,988","113,118","48,676","118,580","103,223","15,357","44,353","118,580","103,223","(58,870)","15,357"
Juvenile Justice Services,,,,,,,,,,,
Full-Time Positions,322,305,310,327,303,24,348,327,303,45,24
Class 100 Total Oblig./Approp.,"17,437,236","18,534,592","17,908,528","17,740,810","17,740,810",o,"18,223,350","17,740,810","17,740,810","482,540",o
Class 100 Overtime Oblig./Approp.,"3,633,275","4,829,326","4,265,486","4,252,498","2,808,564","1,443,934","4,252,498","4,252,498","2,808,564","1,443,934","1,443,934"
Children & Youth,,,,,,,,,,,
Full-Time Positions,"1,045","1,108","1,070","1,052","1,056",(4),"1,063","1,052","1,056",7,(4)
Class 100 Total Oblig./Approp.,"56,778,160","59,245,749","60,311,640","55,910,100","55,910,100",o,"55,910,100","55,910,100","55,910,100",o,o
Class 100 Overtime Oblig./Approp.,"3,753,830","5,288,405","3,710,311","2,860,770","3,542,344","(681,574)","2,860,770","2,860,770","3,542,344","(681,574)","(681,574)"
