0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/ Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Fleet Management,,,,,,,,
Full-Time Positions,292,265,268,283,283,273,10,10
Class 100 Total Oblig./Approp.,"16,666,891","15,732,183","15,307,822","15,582,207","15,634,681","15,634,681","(52,474)",o
Class 100 Overtime Oblig./Approp.,"2,564,572","2,608,404","2,438,629","2,023,358","2,552,346","2,685,858","(662,500)","(133,512)"
Free Library,,,,,,,,
Full-Time Positions,602,619,608,638,623,609,29,14
Class 100 Total Oblig./Approp.,"29,099,281","29,004,685","28,981,009","29,283,037","29,598,453","29,598,453","(315,416)",0
Class 100 Overtime Oblig./Approp.,"472,152","745,424","791,993","731,736","1,108,722","1,097,007","(365,271)","11,715"
Historical Commission,,,,,,,,
Full-Time Positions,6,6,4,6,6,5,1,1
Class 100 Total Oblig./Approp.,"360,053","375,835","357,778","385,995","392,785","392,785","(6,790)",o
Class 100 Overtime Oblig./Approp.,0,0,o,0,0,0,0,o
Human Relations Commission,,,,,,,,
Full-Time Positions,33,30,29,33,33,29,4,4
Class 100 Total Oblig./Approp.,"1,947,511","1,908,658","1,787,026","1,950,787","1,957,245","1,957,245","(6,458)",o
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Services,,,,,,,,
Full-Time Positions,"1,751","1,668",804,804,402,349,455,53
Class 100 Total Oblig./Approp.,"94,110,384","92,981,141","23,237,096","40,492,544","20,098,590","20,098,590","20,393,954",0
Class 100 Overtime Oblig./Approp.,"7,137,162","8,687,587","536,744","4,010,344","2,398,057","2,486,667","1,523,677","(88,610)"
