0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Behavioral Health and Intellectual disAbility,,,,,,,,
Full-Time Positions,26,22,21,21,21,19,2,2
Class 100 Total Oblig./Approp.,"2,142,857","1,563,276","1,478,243","1,392,261","1,392,261","1,392,261",0,0
Class 100 Overtime Oblig./Approp.,"21,486","16,783","10,302","9,342","6,846","9,867",(525),"(3,021)"
Office of Human Resources,,,,,,,,
Full-Time Positions,64,53,73,80,82,80,0,2
Class 100 Total Oblig./Approp.,"3,507,656","3,313,279","3,890,117","4,341,325","4,236,758","4,236,758","104,567",0
Class 100 Overtime Oblig./Approp.,"23,516","30,611","45,173","30,000","49,714","63,270","(33,270)","(13,556)"
Office of Innovation and Technology,,,,,,,,
Full-Time Positions,146,174,258,284,274,255,29,19
Class 100 Total Oblig./Approp.,"8,959,109","10,540,202","16,911,667","17,514,280","17,514,280","17,014,280","500,000","500,000"
Class 100 Overtime Oblig./Approp.,"134,528","563,629","586,720","535,000","440,032","590,240","(55,240)","(150,208)"
Office of Property Assessment,,,,,,,,
Full-Time Positions,0,0,132,227,187,157,70,30
Class 100 Total Oblig./Approp.,0,0,"5,259,514","10,421,886","8,187,072","7,187,072","3,234,814","1,000,000"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Supportive Housing,,,,,,,,
Full-Time Positions,126,124,116,118,156,147,(29),9
Class 100 Total Oblig./Approp.,"6,714,527","6,343,923","5,825,381","5,852,567","7,652,567","7,652,567","(1,800,000)",0
Class 100 Overtime Oblig./Approp.,"446,646","457,176","203,853","251,011","196,041","184,441","66,570","11,600"
