0,1,2,3,4,5,6,7,8
,,,,,,FY 2017 FULL YEAR,,
Department/Category,FY 14 Year End,FY 15 Year End,FY 16 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Atwater Kent Museum,,,,,,,,
Full-Time Positions,3,2,3,4,4,4,0,0
Class 100 Total Oblig./Approp.,"227,307","180,906","223,470","244,817","248,444","248,444","(3,627)",0
Class 100 Overtime Oblig./Approp.,"2,333","2,530","2,687","2,267","3,267","3,267","(1,000)",0
Auditing,,,,,,,,
Full-Time Positions,111,129,137,140,135,127,13,8
Class 100 Total Oblig./Approp.,"7,070,173","7,599,194","7,994,175","8,009,512","8,070,097","8,070,097","(60,585)",0
Class 100 Overtime Oblig./Approp.,"65,036","138,581","66,941","50,000","20,000","13,900","36,100","6,100"
Board of Ethics,,,,,,,,
Full-Time Positions,9,9,10,12,12,11,1,1
Class 100 Total Oblig./Approp.,"741,674","843,844","862,716","961,403","972,118","972,118","(10,715)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,
Full-Time Positions,11,12,14,15,15,15,0,0
Class 100 Total Oblig./Approp.,"1,015,351","985,057","890,697","819,627","832,785","832,785","(13,158)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
City Commissioners,,,,,,,,
Full-Time Positions,84,91,92,104,104,94,10,10
Class 100 Total Oblig./Approp.,"4,822,174","5,192,287","5,514,242","5,638,818","5,793,295","5,793,295","(154,477)",0
Class 100 Overtime Oblig./Approp.,"863,984","916,270","1,041,102","345,806","1,145,806","1,145,806","(800,000)",0
City Council,,,,,,,,
Full-Time Positions,169,176,187,195,195,186,9,9
Class 100 Total Oblig./Approp.,"11,997,588","12,339,907","12,842,195","14,309,858","14,469,130","14,469,130","(159,272)",0
Class 100 Overtime Oblig./Approp.,886,"10,351","20,234",0,"20,000","36,000","(36,000)","(16,000)"
City Planning Commission,,,,,,,,
Full-Time Positions,30,29,31,32,32,30,2,2
Class 100 Total Oblig./Approp.,"2,192,556","2,176,554","2,211,557","2,369,484","2,370,957","2,370,957","(1,473)",0
Class 100 Overtime Oblig./Approp.,150,"1,055",0,0,"5,000","7,300","(7,300)","(2,300)"
City Representative,,,,,,,,
Full-Time Positions,7,6,7,8,8,6,2,2
Class 100 Total Oblig./Approp.,"400,499","417,223","453,196","589,381","595,176","595,176","(5,795)",0
Class 100 Overtime Oblig./Approp.,"2,953","8,737","7,828",0,"5,000","4,300","(4,300)",700
City Treasurer,,,,,,,,
Full-Time Positions,14,14,15,16,16,14,2,2
Class 100 Total Oblig./Approp.,"785,368","802,019","985,689","1,040,058","1,050,911","1,050,911","(10,853)",0
Class 100 Overtime Oblig./Approp.,0,0,"1,049",0,500,290,(290),210
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"146,586","153,885","150,173","148,882","150,611","150,611","(1,729)",0
Class 100 Overtime Oblig./Approp.,0,15,0,0,0,0,0,0
