0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/ Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Office of Behavioral Health and Intellectual disAbility,,,,,,,,,,,
Full-Time Positions,16,24,23,27,27,0,47,47,46,1,1
Class 100 Total Oblig./Approp.,"1,580,748","1,550,431","1,546,510","382,256","382,256",0,"2,980,922","2,980,922","2,910,281","70,641","70,641"
Class 100 Overtime Oblig./Approp.,"6,906","6,636","7,582","1,000","10,650","(9,650)","4,000","4,000","75,237","(71,237)","(71,237)"
Office of the Chief Administrative Officer,,,,,,,,,,,
Full-Time Positions,56,64,59,60,60,0,77,77,72,5,5
Class 100 Total Oblig./Approp.,"3,831,785","4,435,378","4,005,063","856,327","856,327",0,"5,062,173","5,062,173","4,733,837","328,336","328,336"
Class 100 Overtime Oblig./Approp.,"21,904","2,621",443,"2,050",0,"2,050","8,198","8,198","8,198",0,0
Office of Children and Families,,,,,,,,,,,
Full-Time Positions,32,40,3,3,3,0,3,3,3,0,0
Class 100 Total Oblig./Approp.,"2,318,022","2,789,271","418,820","96,161","96,161",0,"442,000","442,000","442,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,,,,
Full-Time Positions,151,151,127,146,146,0,162,162,162,0,0
Class 100 Total Oblig./Approp.,"9,056,465","9,589,667","7,600,652",2.088.241,"2,088,241",0,"9,307,467","9,307,467","9,307,467",0,0
Class 100 Overtime Oblig./Approp.,"201,728","332,810","314,954","50,125","66,805","(16,680)","200,500","200,500","200,500",0,0
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,77,79,75,72,72,0,80,80,80,0,0
Class 100 Total Oblig./Approp.,"4,913,051","5,185,267","5,133,178","1,116,051","1,116,051",0,"5,223,802","5,223,802","5,223,802",0,0
Class 100 Overtime Oblig./Approp.,"45,485","63,347","81,009",0,"21,984","(21,984)",0,0,"88,000","(88,000)","(88,000)"
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,277,317,313,311,311,0,364,364,343,21,21
Class 100 Total Oblig./Approp.,"20,875,286","24,148,702","24,142,550","5,508,798","5,508,798",0,"28,131,196","28,131,196","26,071,196","2,060,000","2,060,000"
Class 100 Overtime Oblig./Approp.,"489,644","486,875","350,274","104,610","85,444","19,166","418,439","418,439","418,439",0,0
OIT-Base,,,,,,,,,,,
Full-Time Positions,265,301,299,297,297,0,348,348,327,21,21
Class 100 Total Oblig./Approp.,"19,846,610","22,772,627","22,946,742","5,248,616","5,248,616",0,"26,789,649","26,789,649","24,729,649","2,060,000","2,060,000"
Class 100 Overtime Oblig./Approp.,"454,207","448,945","314,614","88,759","77,401","11,358","355,035","355,035","355,035",0,0
