0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,
Full-Time Positions,23,18,20,27,27,27,0,0
Class 100 Total Oblig./Approp.,"1,595,054","1,594,665","1,685,843","1,850,054","1,878,032","1,878,032","(27,978)",0
Class 100 Overtime Oblig./Approp.,"1,066",132,449,0,500,"1,850","(1,850)","(1,350)"
District Attorney,,,,,,,,
Full-Time Positions,410,414,419,419,435,464,(45),(29)
Class 100 Total Oblig./Approp.,"28,386,002","28,495,977","29,302,614","29,933,823","30,186,492","30,186,492","(252,669)",0
Class 100 Overtime Oblig./Approp.,"208,293","278,995","227,760","207,436","207,436","165,523","41,913","41,913"
Finance,,,,,,,,
Full-Time Positions,140,156,163,170,170,170,0,0
Class 100 Total Oblig./Approp.,"8,827,172","8,807,264","9,084,799","8,382,857","8,460,154","8,060,154","322,703","400,000"
Class 100 Overtime Oblig./Approp.,"8,375","14,580","25,428","34,586","34,586","38,057","(3,471)","(3,471)"
Fire,,,,,,,,
Full-Time Positions,"2,146","2,072","2,125","2,328","2,200","2,053",275,147
Class 100 Total Oblig./Approp.,"174,356,738","173,513,212","179,819,281","173,249,142","222,757,851","223,357,851","(50,108,709)","(600,000)"
Class 100 Overtime Oblig./Approp.,"27,080,170","28,017,048","33,691,349","23,400,046","26,627,828","37,823,120","(14,423,074)","(11,195,292)"
First Judicial District,,,,,,,,
Full-Time Positions,"1,869","1,957","1,909","1,953","1,953","1,866",87,87
Class 100 Total Oblig./Approp.,"84,989,346","89,990,406","91,827,883","92,760,968","93,589,778","93,589,778","(828,810)",0
Class 100 Overtime Oblig./Approp.,"3,265","113,616","113,887","100,000","100,000","100,029",(29),(29)
