0,1,2,3,4,5,6,7,8
,,,,,,FY 2020 FULL YEAR,,
Department/Category,FY 17 Year End,FY 18 Year End,FY 19 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"161,212","163,743","168,597","174,341","174,742","174,742",(401),0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Commerce,,,,,,,,
Full-Time Positions,28,31,48,55,55,44,11,11
Class 100 Total Oblig./Approp.,"2,393,155","2,114,325","3,028,159","3,469,881","3,506,080","3,506,080","(36,199)",0
Class 100 Overtime Oblig./Approp.,914,"1,176","5,257",0,"10,000","7,000","(7,000)","3,000"
District Attorney,,,,,,,,
Full-Time Positions,492,455,491,513,513,545,(32),(32)
Class 100 Total Oblig./Approp.,"32,689,069","32,249,281","34,265,564","35,016,343","37,587,796","37,620,523","(2,604,180)","(32,727)"
Class 100 Overtime Oblig./Approp.,"54,772","52,297","155,103","209,000","209,000","140,000","69,000","69,000"
Finance,,,,,,,,
Full-Time Positions,111,115,116,124,124,119,5,5
Class 100 Total Oblig./Approp.,"6,669,543","6,963,917","7,756,138","9,084,313","9,241,878","9,266,821","(182,508)","(24,943)"
Class 100 Overtime Oblig./Approp.,"18,057","45,510","74,302","35,040","60,000","80,000","(44,960)","(20,000)"
Finance Reg #32 Disability,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"1,987,825","2,556,892","2,413,758","2,650,000","2,650,000","2,650,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Fire,,,,,,,,
Full-Time Positions,"2,281","2,511","2,530","2,704","2,704","2,628",76,76
Class 100 Total Oblig./Approp.,"214,434,520","244,026,657","283,319,650","273,966,292","288,953,567","289,014,272","(15,047,980)","(60,705)"
Class 100 Overtime Oblig./Approp.,"25,016,458","36,673,566","50,943,620","37,823,353","66,854,426","64,000,000","(26,176,647)","2,854,426"
First Judicial District,,,,,,,,
Full-Time Positions,"1,856","1,867","1,842","1,850","1,850","1,825",25,25
Class 100 Total Oblig./Approp.,"94,649,818","98,343,914","100,719,400","104,792,068","105,610,726","105,610,726","(818,658)",0
Class 100 Overtime Oblig./Approp.,"7,095","25,034","24,242","94,840","54,840","48,000","46,840","6,840"
Fleet Management,,,,,,,,
Full-Time Positions,270,281,286,310,310,282,28,28
Class 100 Total Oblig./Approp.,"16,491,089","17,532,835","18,501,080","19,416,871","19,436,197","19,599,366","(182,495)","(163,169)"
Class 100 Overtime Oblig./Approp.,"2,126,729","2,249,940","2,406,919","2,315,880","2,315,880","1,700,000","615,880","615,880"
Free Library,,,,,,,,
Full-Time Positions,643,649,651,737,737,677,60,60
Class 100 Total Oblig./Approp.,"35,905,717","36,929,841","38,004,616","40,633,647","40,855,038","41,140,877","(507,230)","(285,839)"
Class 100 Overtime Oblig./Approp.,"1,762,275","1,576,070","1,667,956","1,331,159","2,031,159","1,675,000","(343,841)","356,159"
