0,1,2,3,4,5,6,7,8
,,,,,,FY 2017 FULL YEAR,,
Department/Category,FY 14 Year End,FY 15 Year End,FY 16 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,
Full-Time Positions,27,21,34,28,29,30,(2),(1)
Class 100 Total Oblig./Approp.,"1,837,393","1,925,310","2,351,610","2,107,565","2,265,934","2,265,934","(158,369)",0
Class 100 Overtime Oblig./Approp.,"1,850","2,628","1,717","1,352",352,"1,000",352,(648)
District Attorney,,,,,,,,
Full-Time Positions,464,476,478,525,510,495,30,15
Class 100 Total Oblig./Approp.,"30,244,298","32,780,607","32,810,833","33,800,485","33,278,575","33,278,575","521,910",0
Class 100 Overtime Oblig./Approp.,"165,523","211,533","156,060","169,100","169,100","101,300","67,800","67,800"
Finance,,,,,,,,
Full-Time Positions,170,160,165,116,116,105,11,11
Class 100 Total Oblig./Approp.,"9,839,565","10,516,461","10,819,419","6,911,556","6,902,480","6,902,480","9,076",0
Class 100 Overtime Oblig./Approp.,"38,057","35,786","28,879","34,475","34,475","19,000","15,475","15,475"
Fire,,,,,,,,
Full-Time Positions,"2,053","2,150","2,316","2,290","2,330","2,299",(9),31
Class 100 Total Oblig./Approp.,"223,368,941","208,073,020","219,101,252","201,369,162","214,618,673","214,618,673","(13,249,511)",0
Class 100 Overtime Oblig./Approp.,"37,823,121","36,119,936","37,417,517","19,825,714","25,925,714","25,125,000","(5,299,286)","800,714"
First Judicial District,,,,,,,,
Full-Time Positions,"1,866","1,842","1,839","1,908","1,908","1,851",57,57
Class 100 Total Oblig./Approp.,"90,888,686","98,382,318","97,017,514","97,254,698","96,788,135","96,788,135","466,563",0
Class 100 Overtime Oblig./Approp.,"100,029","104,588","426,210","91,996","91,996","6,400","85,596","85,596"
Fleet Management,,,,,,,,
Full-Time Positions,264,261,263,287,282,269,18,13
Class 100 Total Oblig./Approp.,"15,840,304","17,168,958","17,275,918","16,613,280","16,614,535","16,614,535","(1,255)",0
Class 100 Overtime Oblig./Approp.,"2,902,854","3,027,989","3,253,678","2,174,957","2,174,957","2,174,957",0,0
Free Library,,,,,,,,
Full-Time Positions,609,642,636,692,672,658,34,14
Class 100 Total Oblig./Approp.,"30,801,445","35,306,130","34,808,182","35,454,254","35,857,444","35,857,444","(403,190)",0
Class 100 Overtime Oblig./Approp.,"1,252,355","1,502,862","1,672,235","743,227","1,543,227","1,765,000","(1,021,773)","(221,773)"
Historical Commission,,,,,,,,
Full-Time Positions,6,6,5,6,6,6,0,0
Class 100 Total Oblig./Approp.,"347,973","383,402","341,606","429,943","429,943","429,943",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Relations Commission,,,,,,,,
Full-Time Positions,30,30,32,34,34,30,4,4
Class 100 Total Oblig./Approp.,"1,744,635","1,779,986","1,837,948","2,127,519","2,124,681","2,124,681","2,838",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
