0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2014,,,,,FISCAL YEAR 2015,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,3,0,3,4,0,4,3,0,3,1
Auditing (City Controller's Office),111,0,111,126,0,126,116,0,116,10
Board of Ethics,9,0,9,12,0,12,10,0,10,2
Board of Pensions,0,50,50,0,77,77,0,41,41,36
Board of Revision of Taxes,11,0,11,14,0,14,12,0,12,2
City Commissioners (Election Board),84,0,84,98,0,98,90,0,90,8
City Council,169,0,169,195,0,195,182,0,182,13
City Planning Commission,30,3,33,32,5,37,30,4,34,3
City Representative,7,0,7,7,0,7,7,0,7,0
City Treasurer,14,0,14,14,0,14,13,1,14,0
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,27,777,804,27,850,877,19,775,794,83
District Attorney - Total,464,84,548,463,126,589,472,86,558,31
Civilian,447,76,523,448,110,558,459,77,536,22
Uniform,17,8,25,15,16,31,13,9,22,9
Finance,170,0,170,177,0,177,164,13,177,0
Fire Total,"2,053",196,"2,249","2,203",207,"2,410","2,048",202,"2,250",160
Civilian,105,3,108,114,4,118,114,2,116,2
Uniform,"1,948",193,"2,141","2,089",203,"2,292","1,934",200,"2,134",158
First Judicial District,"1,866",465,"2,331","1,885",504,"2,389","1,858",465,"2,323",66
Fleet Management,264,67,331,283,78,361,264,69,333,28
Free Library,609,20,629,697,27,724,640,15,655,69
Historical Commission,6,0,6,6,0,6,5,0,5,1
Human Relations Commission,30,0,30,34,0,34,30,0,30,4
Human Services (1),382,"1,182","1,564",451,"1,390","1,841",439,"1,103","1,542",299
"Labor Relations, Mayor's Office of",7,0,7,8,0,8,10,0,10,(2)
Law,146,54,200,152,56,208,146,54,200,8
Licenses & Inspections,296,7,303,353,9,362,326,8,334,28
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
L&I-Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Managing Director's Office,279,23,302,264,24,288,255,50,305,(17)
Mayor's Office,44,3,47,46,3,49,50,2,52,(3)
Mayor's Off. of Comm Empowerment/Oppor.,0,33,33,0,37,37,0,34,34,3
Mayor's Office of Transportation & Utilities,13,2,15,14,2,16,12,4,16,0
Mural Arts Program,11,0,11,11,0,11,9,0,9,2
Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Office of Behavioral Hith/Intel. disAbility,15,224,239,16,249,265,16,226,242,23
