0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2010,,,,,FISCAL YEAR 2011,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,305,11,316,320,16,336,287,15,302,34
Managing Director (MDO),112,15,127,122,8,130,116,14,130,0
Mayor,38,3,41,39,3,42,37,4,41,1
Mayor - Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,15,0,15,19,0,19,17,0,17,2
Mayor's Office of Comm. Svcs.,0,75,75,0,88,88,0,74,74,14
Mayor's Office of Transportation,8,1,9,8,0,8,8,2,10,(2)
Mural Arts Program,12,0,12,12,0,12,11,0,11,1
Off. of Behavioral Hith/Mental Retard. Svcs.,22,236,258,24,272,296,22,233,255,41
Office of Human Resources,53,0,53,79,0,79,69,0,69,10
Off.of Supportive Housing,124,44,168,132,56,188,122,43,165,23
Office of Housing and Community Develop.,0,74,74,0,77,77,0,74,74,3
Parks and Recreation,435,21,456,689,27,716,593,22,615,101
Police Total,"7,378",168,"7,546","7,470",216,"7,686","7,287",219,"7,506",180
Civilian,782,16,798,846,11,857,781,17,798,59
Uniform,"6,596",152,"6,748","6,624",205,"6,829","6,506",202,"6,708",121
Prisons,"2,254",0,"2,254","2,360",0,"2,360","2,229",0,"2,229",131
Procurement,46,2,48,50,2,52,44,2,46,6
Public Health,662,213,875,742,285,"1,027",654,204,858,169
Public Property,123,0,123,136,0,136,119,0,119,17
Records,59,0,59,63,0,63,58,0,58,5
Register of Wills,63,0,63,64,0,64,63,0,63,1
Revenue,250,236,486,262,260,522,248,229,477,45
Sheriff,230,0,230,245,0,245,227,0,227,18
Streets,523,0,523,555,0,555,514,0,514,41
Streets Sanitation,"1,170",0,"1,170","1,271",0,"1,271","1,170",0,"1,170",101
Water,0,"1,672","1,672",0,"1,898","1,898",0,"1,611","1,611",287
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,297","4,566","26,863","23,339","5,358","28,697","22,156","4,612","26,768","1,929"
