0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2015,,,,,FISCAL YEAR 2016,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,56,56,0,58,58,0,55,55,3
Office of Human Resources,82,1,83,91,0,91,86,0,86,5
Office of Innovation and Technology,261,83,344,295,86,381,262,82,344,37
Office of the Inspector General,18,0,18,20,0,20,19,0,19,1
Office of Property Assessment,186,0,186,217,0,217,190,0,190,27
Office of Supportive Housing,135,13,148,159,12,171,146,13,159,12
Office of Sustainability,0,0,0,8,1,9,4,1,5,4
Parks and Recreation,598,28,626,706,24,730,600,27,627,103
Police Total,"7,061",179,"7,240","7,371",166,"7,537","7,005",179,"7,184",353
Civilian,776,11,787,846,11,857,799,12,811,46
Uniform,"6,285",168,"6,453","6,525",155,"6,680","6,206",167,"6,373",307
Prisons,"2,286",0,"2,286","2,325",0,"2,325","2,317",0,"2,317",8
Procurement,44,2,46,51,2,53,43,2,45,8
Public Health,653,155,808,781,231,"1,012",659,146,805,207
Public Property,137,0,137,159,0,159,143,0,143,16
Records,56,0,56,63,0,63,57,0,57,6
Register of Wills,64,0,64,64,0,64,64,0,64,0
Revenue,319,231,550,360,255,615,360,235,595,20
Sheriff,299,0,299,323,0,323,323,0,323,0
Streets Sanitation,"1,146",0,"1,146","1,233",0,"1,233","1,165",0,"1,165",68
Streets - Transportation,518,0,518,561,0,561,527,0,527,34
Water,0,"1,747","1,747",0,"1,959","1,959",0,"1,788","1,788",171
Youth Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,166","5,626","26,792","22,553","6,436","28,989","21,390","5,549","26,939","2,050"
