0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2011,,,,,FISCAL YEAR 2012,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,290,12,302,311,15,326,298,16,314,12
Managing Director (MDO),153,17,170,145,15,160,145,26,171,(11)
Mayor,33,4,37,35,4,39,33,3,36,3
Mayor - Office of Arts and Culture,2,o,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,16,0,16,18,0,18,17,0,17,1
Mayor's Office of Comm. Svcs.,0,73,73,0,81,81,0,63,63,18
Mayor's Office of Transportation,8,2,10,10,1,11,8,3,11,0
Mural Arts Program,12,0,12,12,0,12,11,0,11,1
Off. of Behavioral Hith/Mental Retard. Svcs.,21,232,253,21,270,291,19,229,248,43
Office of Human Resources,73,0,73,80,0,80,80,0,80,0
Office of Innovation and Technology,258,67,325,284,84,368,255,64,319,49
Office of Property Assessment (2),132,0,132,227,0,227,157,0,157,70
Off.c of Supportive Housing,116,44,160,118,49,167,147,8,155,12
Office of Housing and Community Develop.,0,72,72,0,74,74,0,59,59,15
Parks and Recreation,590,22,612,627,27,654,574,23,597,57
Police Total,"7,219",165,"7,384","7,371",216,"7,587","7,225",164,"7,389",198
Civilian,778,11,789,846,11,857,812,11,823,34
Uniform,"6,441",154,"6,595","6,525",205,"6,730","6,413",153,"6,566",164
Prisons,"2,166",0,"2,166","2,310",0,"2,310","2,144",o,"2,144",166
Procurement,45,2,47,49,2,51,45,0,45,6
Public Health,661,224,885,731,290,"1,021",669,188,857,164
Public Property,126,0,126,129,0,129,122,0,122,7
Records,61,0,61,63,0,63,64,0,64,(1)
Register of Wills,63,0,63,65,0,65,61,0,61,4
Revenue,248,239,487,299,270,569,286,239,525,44
Sheriff,221,0,221,245,0,245,226,0,226,19
Streets,510,0,510,557,0,557,525,0,525,32
Streets Sanitation,"1,179",0,"1,179","1,228",0,"1,228","1,157",0,"1,157",71
Water,o,"1,646","1,646",0,"1,907","1,907",0,"1,629","1,629",278
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,2,0,2,2,0,2,0,0,0,2
,,,,,,,,,,
TOTAL ALL FUNDS,"22,020","4,540","26,560","22,102","6,355","28,457","21,175","5,197","26,372","2,085"
