0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2022,,,,,FISCAL YEAR 2023,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),109,0,109,135,0,135,111,0,111,24
Board of Ethics,9,0,9,12,0,12,9,0,9,3
Board of Pensions,0,58,58,0,73,73,0,57,57,16
Board of Revision of Taxes,14,0,14,16,0,16,15,0,15,1
City Commissioners (Election Board),134,0,134,187,0,187,138,0,138,49
City Council,175,0,175,185,0,185,183,0,183,2
City Representative,0,0,0,0,0,0,0,0,0,0
City Treasurer,17,0,17,19,0,19,19,1,20,(1)
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,35,622,657,82,860,942,49,634,683,259
District Attorney Total,503,98,601,583,84,667,560,108,668,(1)
Civilian,469,91,560,547,78,625,528,102,630,(5)
Uniform,34,7,41,36,6,42,32,6,38,4
Finance,122,0,122,134,0,134,118,0,118,16
Fire Total,"2,667",78,"2,745","3,376",84,"3,460","2,763",76,"2,839",621
Civilian,115,1,116,177,1,178,133,1,134,44
Uniform,"2,552",77,"2,629","3,199",83,"3,282","2,630",75,"2,705",577
First Judicial District,"1,686",408,"2,094","1,719",477,"2,196","1,702",412,"2,114",82
Fleet Services,266,56,322,318,84,402,260,54,314,88
Free Library,618,12,630,961,14,975,636,9,645,330
Human Relations Commission,32,0,32,33,0,33,32,0,32,1
Human Services (1),492,989,"1,481",535,"1,306","1,841",393,"1,040","1,433",408
Labor,28,0,28,44,0,44,33,0,33,11
Law,175,53,228,198,57,255,194,52,246,9
Licenses & Inspections,346,8,354,425,8,433,354,8,362,71
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,324,115,439,537,141,678,346,112,458,220
Mayor's Office,60,6,66,64,5,69,56,5,61,8
Mayor's Office-Comm. Empowerment & Opp.,0,27,27,0,40,40,0,29,29,11
Mural Arts Program,8,0,8,10,0,10,10,0,10,0
Office of Arts and Culture,0,0,0,0,0,0,0,0,0,0
Office of Behavioral HIth & Intellectual disAbility,30,233,263,53,292,345,46,215,261,84
