0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2013,,,,,FISCAL YEAR 2014,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,3,0,3,1
Auditing (City Controller's Office),118,0,118,123,0,123,111,0,111,12
Board of Ethics,8,0,8,12,0,12,9,0,9,3
Board of Pensions,0,53,53,0,77,77,0,50,50,27
Board of Revision of Taxes,7,0,7,9,0,9,11,0,11,-2
City Commissioners (Election Board),90,0,90,98,0,98,84,0,84,14
City Council,173,0,173,195,0,195,169,0,169,26
City Planning Commission,31,3,34,33,4,37,30,3,33,4
City Representative,8,0,8,7,0,7,7,0,7,0
City Treasurer,13,0,13,14,0,14,14,0,14,0
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,20,783,803,27,863,890,27,777,804,86
District Attorney Total,419,105,524,419,140,559,464,84,548,11
Civilian,405,96,501,405,136,541,447,76,523,18
Uniform,14,9,23,14,4,18,17,8,25,-7
Finance,163,0,163,170,0,170,170,0,170,0
Fire Total,"2,125",77,"2,202","2,328",79,"2,407","2,053",196,"2,249",158
Civilian,97,3,100,112,4,116,105,3,108,8
Uniform,"2,028",74,"2,102","2,216",75,2.291,"1,948",193,2.141,150
First Judicial District,"1,909",451,"2,360","1,953",472,"2,425","1,866",465,"2,331",94
Fleet Management,273,72,345,283,78,361,264,67,331,30
Free Library,609,22,631,654,26,680,609,20,629,51
Historical Commission,5,0,5,6,0,6,6,0,6,0
Human Relations Commission,29,0,29,34,0,34,30,0,30,4
Human Services (1),377,"1,172","1,549",442,"1,396","1,838",382,"1,182","1,564",274
"Labor Relations, Mayor's Office of",7,0,7,8,0,8,7,0,7,1
Law,138,54,192,147,57,204,146,54,200,4
Licenses & Inspections,292,8,300,320,9,329,296,7,303,26
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,1,0,1,2,0,2,2,0,2,0
L&I-Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Managing Director's Office,156,22,178,269,21,290,279,23,302,-12
Mayor's Office,36,3,39,47,3,50,44,3,47,3
Mayor's Off. of Comm Empowerment/Oppor.,15,66,81,0,69,69,0,33,33,36
Mayor's Office of Transportation & Utilities,13,2,15,15,2,17,13,2,15,2
Mural Arts Program,11,0,11,11,0,11,11,0,11,0
Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Office of Behavioral Hlth/Intel. disAbility,19,225,244,18,246,264,15,224,239,25
