0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,351,19,370,386,22,408,339,18,357,51
Managing Director (MDO),102,11,113,88,10,98,98,11,109,(11)
Mayor,56,3,59,62,5,67,54,3,57,10
Mayor's Office of Comm. Svcs.,0,143,143,0,95,95,0,156,156,(61)
Mural Arts Program,14,0,14,16,0,16,14,0,14,2
Off. of Behavioral Hith/Mental Retard. Svcs.,35,226,261,34,259,293,34,227,261,32
Off.of Supportive Housing,132,46,178,145,53,198,145,44,189,9
Office of Housing and Community Develop.,0,82,82,0,110,110,0,82,82,28
Personnel,70,0,70,79,0,79,75,0,75,4
Police Total,"7,424",161,"7,585","7,508",166,"7,674","7,443",162,"7,605",69
Civilian,812,11,823,884,11,895,818,11,829,66
Uniform,"6,612",150,"6,762","6,624",155,"6,779","6,625",151,"6,776",3
Prisons,"2,176",0,"2,176","2,400",0,"2,400","2,130",0,"2,130",270
Procurement,54,2,56,62,3,65,58,3,61,4
Public Health,664,217,881,738,260,998,677,215,892,106
Public Property,175,O,175,173,0,173,148,0,148,25
Records,70,0,70,76,0,76,72,0,72,4
Recreation,460,24,484,517,25,542,462,23,485,57
Register of Wills,69,0,69,70,O,70,67,o,67,3
Revenue,237,205,442,271,274,545,246,205,451,94 17
Sheriff,241,0,241,263,0,263,246,0,246,
Streets,592,O,592,625,0,625,587,0,587,38
Streets - Sanitation,"1,222",0,"1,222","1,276",0,"1,276","1,197",0,"1,197",79 252
Water,0,"1,713","1,713",0,"1,971","1,971",0,"1,719","1,719",
Zoning Board of Adjustment,4,0,4,5,0,5,4,0,4,1
,,,,,,,,,,
TOTAL ALL FUNDS,"23,050","4,602","27,652","23,987","5,368","29,355","23,076","4,582","27,658","1,691"
