0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Musoum,4,0,4,5,0,5,5,0,5,0
Auditing (City Controller's Office),120,0,120,140,0,140,117,0,117,23
Board of Buliding Standards,2,0,2,2,0,2,2,0,2,0
Board of Ethics,0,0,0,9,0,9,4,0,4,5
Board of L & I Reviow,3,0,3,3,0,3,3,0,3,0
Bd. of Pensions,0,65,65,0,81,81,0,61,61,20
Bd. of Revision of Taxes,128,0,128,138,0,138,134,0,134,4
Camp William Penn,3,0,3,4,0,4,3,0,3,1
"Capital Program Office, Mayor-",14,0,14,24,0,24,25,0,25,-1
City Commissioners (Election Board),90,0,90,88,0,88,92,0,92,-4
City Council,187,0,187,195,0,195,185,0,185,10
City Planning Commission,44,6,50,49,4,53,45,6,51,2
City Rep. / Commerce,12,745,757,16,951,967,16,754,770,197
City Treasurer,11,0,11,13,0,13,11,0,11,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Clerk of Quarter Sessions,114,0,114,121,0,121,114,0,114,7
District Attorney - Total,424,111,535,442,144,586,444,112,556,30
Civilian,414,99,513,425,120,545,432,102,534,11
Uniform,10,12,22,17,24,41,12,10,22,19
Fairmount Park,155,1,156,169,1,170,152,1,153,17
Finance,164,10,174,169,8,177,159,12,171,6
Fire Total,"2,399",58,2457,"2,425",78,2503,"2,322",66,2388,115
Uniform,"2,302",54,2356,"2,315",74,2389,"2,227",63,2290,99
Civilian,97,4,101,110,4,114,95,3,98,16
First Judicial District,"1,928",485,2413,"1,920",533,2453,"1,960",456,2416,37
Fieet Management,300,69,369,321,77,398,305,68,373,25
Free Library,724,75,799,739,95,834,720,71,791,43
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,35,0,35,34,0,34,32,0,32,2
Human Services,"1,721",54,1775,"1,817",63,1880,"1,756",41,1797,83
"Information Services, Mayor's Offico of",112,16,128,153,17,170,134,17,151,19
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,193,55,248,182,63,245,192,59,251,-6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
