0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2017,,,,,FISCAL YEAR 2018,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,55,0,55,62,0,62,61,0,61,1
Office of Community Schools and Pre-K,32,0,32,36,0,36,32,0,32,4
Office of Homeless Services,146,18,164,157,25,182,150,28,178,4
Office of Housing & Comm. Development,0,48,48,0,0,0,0,0,0,0
Office of Human Resources,85,0,85,81,0,81,74,0,74,7
Office of Innovation and Technology,274,88,362,294,107,401,282,91,373,28
Office of the Inspector General,18,0,18,19,0,19,19,0,19,0
Office of Planning and Development,4,0,4,0,0,0,0,0,0,0
Office of Property Assessment,199,0,199,223,0,223,192,0,192,31
Office of Sustainability,7,1,8,8,1,9,8,0,8,1
Parks and Recreation,607,22,629,748,24,772,652,29,681,91
Planning & Development,0,0,0,47,57,104,45,52,97,7
Police Total,"6,986",162,"7,148","7,371",166,"7,537","7,128",162,"7,290",247
Civilian,812,10,822,846,11,857,795,11,806,51
Uniform,"6,174",152,"6,326","6,525",155,"6,680","6,333",151,"6,484",196
Prisons,"2,277",0,"2,277","2,325",0,"2,325","2,234",0,"2,234",91
Procurement,44,2,46,51,2,53,45,2,47,6
Public Health,687,154,841,826,219,"1,045",724,159,883,162
Public Property,146,0,146,158,0,158,136,0,136,22
Records,57,0,57,63,0,63,56,0,56,7
Register of Wills,72,0,72,74,0,74,69,0,69,5
Revenue,402,241,643,436,232,668,406,207,613,55
Sheriff,348,0,348,408,0,408,370,0,370,38
Streets,"1,702",1,"1,703","1,819",0,"1,819","1,700",0,"1,700",119
Water,0,"1,812","1,812",0,"2,072","2,072",0,"1,873","1,873",199
Water Rate Board,0,0,0,0,1,1,0,0,0,1
Youth Commission,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,610","5,849","27,459","23,411","6,440","29,851","22,120","5,667","27,787","2,064"
