0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2022,,,,,FISCAL YEAR 2023,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,75,0,75,92,0,92,76,0,76,16
Office of Children and Families,2,0,2,3,0,3,6,0,6,(3)
Office of Homeless Services,114,23,137,149,34,183,114,20,134,49
Office of Human Resources,73,0,73,88,0,88,80,0,80,8
Office of Innovation and Technology,300,103,403,397,147,544,322,107,429,115
Office of the Inspector General,16,0,16,26,0,26,16,0,16,10
Office of Property Assessment,177,0,177,225,0,225,177,0,177,48
Office of Sustainability,11,2,13,15,2,17,17,2,19,(2)
Parks and Recreation,613,27,640,787,40,827,619,25,644,183
Planning & Development,54,52,106,74,63,137,59,61,120,17
Police Total,"6,651",141,"6,792","7,327",153,"7,480","6,436",128,"6,564",916
Civilian,799,10,809,947,11,958,850,8,858,100
Uniform,"5,852",131,"5,983","6,380",142,"6,522","5,586",120,"5,706",816
Prisons,"1,393",0,"1,393","2,186",0,"2,186","1,327",0,"1,327",859
Procurement,35,2,37,51,2,53,34,1,35,18
Public Health,689,171,860,835,233,"1,068",679,181,860,208
Public Property,133,0,133,156,0,156,127,0,127,29
Records,54,0,54,60,0,60,54,0,54,6
Register of Wills,67,0,67,73,0,73,62,0,62,11
Revenue,328,167,495,399,221,620,329,167,496,124
Sheriff,343,0,343,537,0,537,333,0,333,204
Streets,"2,072",1,"2,073","2,378",0,"2,378","2,001",1,"2,002",376
Water,0,"1,924","1,924",0,"2,400","2,400",0,"1,965","1,965",435
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,055","5,377","26,432","25,489","6,821","32,310","20,921","5,476","26,397","5,913"
