0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2012,,,,,FISCAL YEAR 2013,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),111,0,111,124,0,124,111,0,111,13
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,8,0,8,11,0,11,9,0,9,2
Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Board of Pensions,0,65,65,0,79,79,0,57,57,22
Board of Revision of Taxes,8,0,8,10,0,10,10,0,10,0
City Commissioners (Election Board),91,0,91,98,0,98,89,0,89,9
City Council,175,0,175,195,0,195,178,0,178,17
City Planning Commission,34,3,37,33,4,37,34,3,37,0
City Representative,6,0,6,6,0,6,6,0,6,0
City Treasurer,14,0,14,14,0,14,13,0,13,1
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,18,731,749,24,866,890,25,758,783,107
District Attorney - Total,414,110,524,411,155,566,408,110,518,48
Civilian,400,101,501,399,133,532,394,102,496,36
Uniform,14,9,23,12,22,34,14,8,22,12
Finance,156,3,159,156,0,156,150,0,150,6
Fire Total,"2,072",72,"2,144","2,327",76,"2,403","2,198",74,"2,272",131
Uniform,"1,969",70,"2,039","2,217",72,"2,289","2,097",70,"2,167",122
Civilian,103,2,105,110,4,114,101,4,105,9
First Judicial District,"1,957",503,"2,460","1,948",562,"2,510","1,961",471,"2,432",78
Fleet Management,268,66,334,283,77,360,269,74,343,17
Free Library,608,63,671,638,80,718,612,28,640,78
Historical Commission,4,0,4,6,0,6,5,0,5,1
Human Relations Commission,29,0,29,33,0,33,29,0,29,4
Human Services (1),804,48,852,804,816,"1,620",323,"1,297","1,620",0
"Labor Relations, Mayor's Office of",8,0,8,8,0,8,8,0,8,0
Law,105,55,160,140,56,196,96,56,152,44
