0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2008,,,,,FISCAL YEAR 2009,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),121,0,121,140,0,140,123,0,123,17
Board of Building Standards,2,0,2,2,0,2,2,0,2,0
Board of Ethics,6,0,6,11,0,11,9,0,9,2
Board of L & I Review,3,0,3,3,0,3,3,0,3,o
Bd. of Pensions,o,59,59,0,79,79,0,59,59,20
Bd. of Revision of Taxes,139,0,139,145,0,145,137,0,137,8
Camp William Penn,1,0,1,0,0,0,o,0,0,o
"Capital Program Office, Mayor-",21,0,21,39,0,39,36,0,36,3
City Commissioners (Election Board),91,o,91,88,0,88,95,0,95,(7)
City Council,192,0,192,195,0,195,193,0,193,2
City Planning Commission,44,2,46,49,4,53,44,5,49,4
City Representative,0,o,0,13,0,13,7,0,7,6
City Treasurer,11,0,11,13,0,13,11,0,11,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,o
Clerk of Quarter Sessions,117,0,117,121,0,121,120,0,120,1
Commerce,13,782,795,10,921,931,9,772,781,150
District Attorney - Total,437,109,546,450,131,581,472,111,583,(2)
Civilian,423,99,522,435,106,541,460,100,560,(19)
Uniform,14,10,24,15,25,40,12,11,23,17
Fairmount Park,156,1,157,189,1,190,157,1,158,32
Finance,170,10,180,169,5,174,180,7,187,(13)
Fire Total,"2,326",64,"2,390","2,505",78,"2,583","2,311",66,"2,377",206
Uniform,"2,225",61,"2,286","2,395",74,"2,469","2,212",62,"2,274",195
Civilian,101,3,104,110,4,114,99,4,103,11
First Judicial District,"1,970",439,"2,409","1,965",532,"2,497","1,958",460,"2,418",79
Fleet Management,307,60,367,329,78,407,305,58,363,44
Free Library,713,66,779,730,90,820,703,67,770,50
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,34,0,34,34,0,34,34,0,34,o
Human Services,"1,784",41,"1,825","1,871",61,"1,932","1,809",40,"1,849",83
"Information Services, Mayor's Office of",141,17,158,156,17,173,139,16,155,18
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,o
Law,192,57,249,220,60,280,192,54,246,34
