0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,5,0,5,4,0,4,1
Auditing (City Controller's Office),120,0,120,140,0,140,121,0,121,19
Board of Building Standards,2,0,2,2,0,2,2,0,2,0
Board of Ethics,0,0,0,9,0,9,6,0,6,3
Board of L & I Review,3,0,3,3,0,3,3,0,3,0
Bd. of Pensions,0,65,65,0,81,81,0,59,59,22
Bd. of Revision of Taxes,128,0,128,138,0,138,139,0,139,(1)
Camp William Penn,3,0,3,4,0,4,1,0,1,3
"Capital Program Office, Mayor-",14,0,14,24,0,24,21,0,21,3
City Commissioners (Election Board),90,0,90,88,0,88,91,0,91,(3)
City Council,187,0,187,195,0,195,192,0,192,3
City Planning Commission,44,6,50,49,4,53,44,2,46,7
City Rep. / Commerce,12,745,757,16,951,967,13,782,795,172
City Treasurer,11,0,11,13,0,13,11,0,11,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Clerk of Quarter Sessions,114,0,114,121,0,121,117,0,117,4
District Attorney - Total,424,111,535,442,144,586,437,109,546,40
Civilian,414,99,513,425,120,545,423,99,522,23
Uniform,10,12,22,17,24,41,14,10,24,17
Fairmount Park,155,1,156,169,1,170,156,1,157,13
Finance,164,10,174,169,8,177,170,10,180,(3)
Fire Total,"2,399",58,"2,457","2,425",78,"2,503","2,326",64,"2,390",113
Uniform,"2,302",54,"2,356","2,315",74,"2,389","2,225",61,"2,286",103
Civilian,97,4,101,110,4,114,101,3,104,10
First Judicial District,"1,928",485,"2,413","1,920",533,"2,453","1,970",439,"2,409",44
Fleet Management,300,69,369,321,77,398,307,60,367,31
Free Library,724,75,799,739,95,834,713,66,779,55
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,35,0,35,34,0,34,34,0,34,0
Human Services,"1,721",54,"1,775","1,817",63,"1,880","1,784",41,"1,825",55
"Information Services, Mayor's Office of",112,16,128,153,17,170,141,17,158,12
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,193,55,248,182,63,245,192,57,249,(4)
