0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2021,,,,,FISCAL YEAR 2022,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,59,0,59,77,0,77,66,0,66,11
Office of Children and Families,3,0,3,3,0,3,2,0,2,1
Office of Homeless Services,127,43,170,162,50,212,120,23,143,69
Office of Human Resources,75,0,75,80,0,80,72,0,72,8
Office of Innovation and Technology,313,102,415,364,127,491,303,102,405,86
Office of the Inspector General,18,0,18,19,0,19,16,0,16,3
Office of Property Assessment,190,0,190,223,0,223,184,0,184,39
Office of Sustainability,8,2,10,12,1,13,11,1,12,1
Parks and Recreation,644,26,670,763,32,795,601,28,629,166
Planning & Development,55,51,106,62,62,124,54,53,107,17
Police Total,"6,869",150,"7,019","7,304",148,"7,452","6,759",142,"6,901",551
Civilian,816,11,827,924,11,935,815,10,825,110
Uniform,"6,053",139,"6,192","6,380",137,"6,517","5,944",132,"6,076",441
Prisons,"1,620",0,"1,620","2,186",0,"2,186","1,427",0,"1,427",759
Procurement,35,2,37,42,2,44,35,2,37,7
Public Health,716,182,898,822,195,"1,017",705,170,875,142
Public Property,142,0,142,156,0,156,136,0,136,20
Records,51,0,51,54,0,54,48,0,48,6
Register of Wills,70,0,70,71,0,71,67,0,67,4
Revenue,386,193,579,399,221,620,329,171,500,120
Sheriff,367,0,367,428,0,428,343,0,343,85
Streets,"1,941",0,"1,941","2,045",0,"2,045","2,078",1,"2,079",(34)
Water,0,"1,922","1,922",0,"2,314","2,314",0,"1,938","1,938",376
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,630","5,579","27,209","24,438","6,595","31,033","21,198","5,384","26,582","4,451"
