0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2015,,,,,FISCAL YEAR 2016,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,56,56,0,58,58,0,49,49,9
Office of Human Resources,82,1,83,91,0,91,83,0,83,8
Office of Innovation and Technology,261,83,344,295,86,381,265,78,343,38
Office of the Inspector General,18,0,18,20,0,20,19,0,19,1
Office of Property Assessment,186,0,186,217,0,217,181,0,181,36
Office of Supportive Housing,135,13,148,159,12,171,136,12,148,23
Office of Sustainability,0,0,0,8,1,9,7,1,8,1
Parks and Recreation,598,28,626,706,24,730,592,26,618,112
Police Total,"7,061",179,"7,240","7,371",166,"7,537","7,011",177,"7,188",349
Civilian,776,11,787,846,11,857,800,11,811,46
Uniform,"6,285",168,"6,453","6,525",155,"6,680","6,211",166,"6,377",303
Prisons,"2,286",0,"2,286","2,325",0,"2,325","2,279",0,"2,279",46
Procurement,44,2,46,51,2,53,45,2,47,6
Public Health,653,155,808,781,231,"1,012",658,147,805,207
Public Property,137,0,137,159,0,159,145,0,145,14
Records,56,0,56,63,0,63,58,0,58,5
Register of Wills,64,0,64,64,0,64,65,0,65,(1)
Revenue,319,231,550,360,255,615,321,232,553,62
Sheriff,299,0,299,323,0,323,330,0,330,(7)
Streets Sanitation,"1,146",0,"1,146","1,233",0,"1,233","1,149",0,"1,149",84
Streets - Transportation,518,0,518,561,0,561,527,0,527,34
Water,0,"1,747","1,747",0,"1,959","1,959",0,"1,798","1,798",161
Youth Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,166","5,626","26,792","22,553","6,436","28,989","21,329","5,485","26,814","2,175"
