0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2015,,,,,FISCAL YEAR 2016,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,2,0,2,4,0,4,3,0,3,1
Auditing (City Controller's Office),129,0,129,140,0,140,131,0,131,9
Board of Ethics,9,0,9,12,0,12,10,0,10,2
Board of Pensions,0,41,41,0,73,73,0,58,58,15
Board of Revision of Taxes,12,0,12,14,0,14,14,0,14,0
City Commissioners (Election Board),91,0,91,98,0,98,91,0,91,7
City Council,176,0,176,195,0,195,177,0,177,18
City Planning Commission,29,5,34,32,5,37,29,5,34,3
City Representative,6,0,6,7,0,7,6,0,6,1
City Treasurer,14,1,15,16,0,16,14,0,14,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,21,760,781,34,850,884,28,744,772,112
District Attorney - Total,476,78,554,482,126,608,482,74,556,52
Civilian,464,68,532,452,110,562,452,64,516,46
Uniform,12,10,22,30,16,46,30,10,40,6
Finance,160,12,172,175,0,175,141,2,143,32
Fire Total,"2,150",194,"2,344","2,287",207,"2,494","2,334",66,"2,400",94
Civilian,108,2,110,123,4,127,113,3,116,11
Uniform,"2,042",192,"2,234","2,164",203,"2,367","2,221",63,"2,284",83
First Judicial District,"1,842",467,"2,309","1,886",504,"2,390","1,794",505,"2,299",91
Fleet Management,261,65,326,287,78,365,267,64,331,34
Free Library,642,14,656,692,27,719,643,15,658,61
Historical Commission,6,0,6,6,0,6,4,0,4,2
Human Relations Commission,30,0,30,34,0,34,32,0,32,2
Human Services (1),395,"1,133","1,528",449,"1,392","1,841",395,"1,123","1,518",323
"Labor Relations, Mayor's Office of",7,0,7,8,0,8,8,0,8,0
Law,152,50,202,154,56,210,115,43,158,52
Licenses & Inspections,335,0,335,384,9,393,336,8,344,49
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
L&I-Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Managing Director's Office,257,57,314,266,24,290,266,59,325,(35)
Mayor's Office,51,3,54,49,3,52,49,3,52,0
Mayor's Off. of Comm Empowerment/Oppor.,0,34,34,0,37,37,0,34,34,3
Mayor's Office of Transportation & Utilities,12,4,16,13,2,15,10,4,14,1
Mural Arts Program,10,0,10,11,0,11,11,0,11,0
Office of Arts and Culture,2,0,2,3,0,3,3,0,3,0
Office of Behavioral Hith/Intel. disAbility,14,213,227,16,249,265,15,214,229,36
