0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2020,,,,,FISCAL YEAR 2021,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),121,0,121,135,0,135,118,0,118,17
Board of Ethics,7,0,7,10,0,10,8,0,8,2
Board of Pensions,0,54,54,0,73,73,0,55,55,18
Board of Revision of Taxes,14,0,14,16,0,16,15,0,15,1
City Commissioners (Election Board),98,0,98,105,0,105,142,0,142,(37)
City Council,180,0,180,208,0,208,188,0,188,20
City Representative,5,0,5,0,0,0,0,0,0,0
City Treasurer,16,0,16,18,0,18,14,0,14,4
Civil Service Commission,2,0,2,2,0,2,1,0,1,1
Commerce,44,810,854,42,845,887,40,774,814,73
District Attorney - Total,545,82,627,513,89,602,549,93,642,(40)
Civilian,516,74,590,470,78,548,517,86,603,(55)
Uniform,29,8,37,43,11,54,32,7,39,15
Finance,119,0,119,131,0,131,121,0,121,10
Fire Total,"2,628",196,"2,824","3,368",80,"3,448","2,717",80,"2,797",651
Civilian,126,3,129,177,3,180,121,2,123,57
Uniform,"2,502",193,"2,695","3,191",77,"3,268","2,596",78,"2,674",594
First Judicial District,"1,825",498,"2,323","1,878",510,"2,388","1,822",465,"2,287",101
Fleet Management,282,78,360,312,84,396,277,72,349,47
Free Library,677,10,687,756,17,773,658,11,669,104
Human Relations Commission,34,0,34,37,0,37,33,0,33,4
Human Services (1),437,"1,081","1,518",492,"1,331","1,823",492,"1,018","1,510",313
Labor,27,0,27,35,0,35,27,0,27,8
Law,130,51,181,134,51,185,129,49,178,7
Licenses & Inspections,394,8,402,423,8,431,399,8,407,24
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,287,86,373,317,92,409,287,103,390,19
Mayor's Office,61,4,65,65,3,68,57,3,60,8
Mayor's Office-Comm. Empowerment & Opp.,0,22,22,0,34,34,0,28,28,6
Mural Arts Program,10,0,10,10,0,10,10,0,10,0
Office of Arts and Culture,2,0,2,0,0,0,0,0,0,0
Office of Behavioral Hith & Intellectual disAbility,24,230,254,24,274,298,24,227,251,47
