0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2018,,,,,FISCAL YEAR 2019,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,58,2,60,64,2,66,56,0,56,10
Office of Community Schools and Pre-K,33,0,33,36,1,37,32,0,32,5
Office of Homeless Services,150,27,177,157,31,188,151,23,174,14
Office of Housing & Comm. Development,0,0,0,0,0,0,0,0,0,0
Office of Human Resources,78,0,78,85,0,85,77,0,77,8
Office of Innovation and Technology,284,91,375,293,120,413,277,92,369,44
Office of the Inspector General,19,0,19,21,0,21,18,0,18,3
Office of Property Assessment,193,0,193,225,0,225,196,0,196,29
Office of Sustainability,9,0,9,8,1,9,9,2,11,(2)
Parks and Recreation,629,29,658,750,29,779,647,27,674,105
Planning & Development,49,53,102,58,56,114,56,53,109,5
Police Total,"7,172",161,"7,333","7,371",166,"7,537","7,241",161,"7,402",135
Civilian,776,11,787,846,11,857,801,11,812,45
Uniform,"6,396",150,"6,546","6,525",155,"6,680","6,440",150,"6,590",90
Prisons,"2,177",0,"2,177","2,325",0,"2,325","2,130",0,"2,130",195
Procurement,46,1,47,50,2,52,41,2,43,9
Public Health,711,160,871,834,216,"1,050",752,149,901,149
Public Property,135,0,135,150,0,150,135,0,135,15
Records,57,0,57,59,0,59,55,0,55,4
Register of Wills,71,0,71,70,0,70,70,0,70,0
Revenue,414,205,619,437,232,669,405,206,611,58
Sheriff,364,0,364,410,0,410,355,0,355,55
Streets,"1,738",0,"1,738","1,912",0,"1,912","1,736",0,"1,736",176
Water,0,"1,886","1,886",0,"2,188","2,188",0,"1,891","1,891",297
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,226","5,641","27,867","23,458","6,625","30,083","22,210","5,874","28,084","1,999"
