0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2011,,,,,FISCAL YEAR,2012,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),113,0,113,122,0,122,110,0,110,12
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,8,o,8,9,0,9,8,0,8,1
Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Board of Pensions,0,65,65,0,79,79,0,62,62,17
Board of Revision of Taxes,8,0,8,10,0,10,8,o,8,2
City Commissioners (Election Board),95,0,95,98,0,98,92,0,92,6
City Council,182,o,182,195,0,195,176,0,176,19
City Planning Commission,33,3,36,38,4,42,34,4,38,4
City Representative,6,0,6,7,0,7,6,0,6,1
City Treasurer,13,0,13,14,0,14,12,0,12,2
Civil Service Commission,2,0,2,2,0,2,2,o,2,0
Commerce,23,731,754,24,866,890,19,753,772,118
District Attorney - Total,410,110,520,422,155,577,414,109,523,54
Civilian,396,101,497,411,133,544,400,101,501,43
Uniform,14,9,23,11,22,33,14,8,22,11
Finance,140,3,143,146,0,146,150,0,150,(4)
Fire Total,"2,146",72,"2,218","2,229",76,"2,305","2,105",75,"2,180",125
Uniform,"2,042",70,"2,112","2,119",72,"2,191","2,000",71,"2,071",120
Civilian,104,2,106,110,4,114,105,4,109,5
First Judicial District,"1,869",503,"2,372","1,909",562,"2,471","1,962",498,"2,460",11
Fleet Management,265,66,331,283,77,360,268,69,337,23
Free Library,619,63,682,641,80,721,600,48,648,73
Historical Commission,6,0,6,6,0,6,5,0,5,1
Human Relations Commission,30,0,30,32,0,32,29,0,29,3
Human Services (1),"1,668",48,"1,716",807,"1,902","2,709",0,"1,621","1,621","1,088"
"Labor Relations, Mayor's Office of",6,0,6,8,0,8,8,0,8,0
Law,160,55,215,148,56,204,104,54,158,46
