0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2018,,,,,FISCAL YEAR 2019,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,58,2,60,64,2,66,57,3,60,6
Office of Community Schools and Pre-K,33,0,33,36,1,37,30,0,30,7
Office of Homeless Services,150,27,177,157,31,188,150,24,174,14
Office of Housing & Comm. Development,0,0,0,0,0,0,0,0,0,0
Office of Human Resources,78,0,78,85,0,85,78,0,78,7
Office of Innovation and Technology,284,91,375,293,120,413,271,93,364,49
Office of the Inspector General,19,0,19,21,0,21,18,0,18,3
Office of Property Assessment,193,0,193,225,0,225,191,0,191,34
Office of Sustainability,9,0,9,8,1,9,10,1,11,(2)
Parks and Recreation,629,29,658,750,29,779,635,28,663,116
Planning & Development,49,53,102,58,56,114,55,53,108,6
Police Total,"7,172",161,"7,333","7,371",166,"7,537","7,284",165,"7,449",88
Civilian,776,11,787,846,11,857,809,11,820,37
Uniform,"6,396",150,"6,546","6,525",155,"6,680","6,475",154,"6,629",51
Prisons,"2,177",0,"2,177","2,325",0,"2,325","2,165",0,"2,165",160
Procurement,46,1,47,50,2,52,43,2,45,7
Public Health,711,160,871,834,216,"1,050",744,149,893,157
Public Property,135,0,135,150,0,150,138,0,138,12
Records,57,0,57,59,0,59,57,0,57,2
Register of Wills,71,0,71,70,0,70,70,0,70,0
Revenue,414,205,619,437,232,669,401,209,610,59
Sheriff,364,0,364,410,0,410,362,0,362,48
Streets,"1,738",0,"1,738","1,912",0,"1,912","1,758",0,"1,758",154
Water,0,"1,886","1,886",0,"2,188","2,188",0,"1,885","1,885",303
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,226","5,641","27,867","23,458","6,625","30,083","22,275","5,771","28,046","2,037"
