0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2022,,,,,FISCAL YEAR 2023,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),109,0,109,135,0,135,105,0,105,30
Board of Ethics,9,0,9,12,0,12,9,0,9,3
Board of Pensions,0,58,58,0,73,73,0,53,53,20
Board of Revision of Taxes,14,0,14,16,0,16,15,0,15,1
City Commissioners (Election Board),134,0,134,187,0,187,143,0,143,44
City Council,175,0,175,185,0,185,168,0,168,17
City Representative,0,0,0,0,0,0,0,0,0,0
City Treasurer,17,0,17,19,0,19,17,3,20,(1)
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,35,622,657,82,860,942,52,639,691,251
District Attorney Total,503,98,601,583,84,667,570,103,673,(6)
Civilian,469,91,560,547,78,625,538,98,636,(11)
Uniform,34,7,41,36,6,42,32,5,37,5
Finance,122,0,122,134,0,134,122,0,122,12
Fire Total,"2,667",78,"2,745","3,376",84,"3,460","2,740",74,"2,814",646
Civilian,115,1,116,177,1,178,135,1,136,42
Uniform,"2,552",77,"2,629","3,199",83,"3,282","2,605",73,"2,678",604
First Judicial District,"1,686",408,"2,094","1,719",477,"2,196","1,688",411,"2,099",97
Fleet Services,266,56,322,318,84,402,261,60,321,81
Free Library,618,12,630,961,14,975,693,9,702,273
Human Relations Commission,32,0,32,33,0,33,29,0,29,4
Human Services (1),492,989,"1,481",535,"1,306","1,841",393,"1,039","1,432",409
Labor,28,0,28,44,0,44,35,0,35,9
Law,175,53,228,198,57,255,192,49,241,14
Licenses & Inspections,346,8,354,425,8,433,343,8,351,82
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,324,115,439,537,141,678,364,113,477,201
Mayor's Office,60,6,66,64,5,69,54,5,59,10
Mayor's Office-Comm. Empowerment & Opp.,0,27,27,0,40,40,0,29,29,11
Mural Arts Program,8,0,8,10,0,10,10,0,10,0
Office of Arts and Culture,0,0,0,0,0,0,0,0,0,0
Office of Behavioral HIth & Intellectual disAbility,30,233,263,53,292,345,45,222,267,78
