0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2011,,,,,FISCAL YEAR,2012,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),113,0,113,122,0,122,111,0,111,11
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,8,0,8,9,0,9,8,0,8,1
Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Board of Pensions,0,65,65,0,79,79,0,61,61,18
Board of Revision of Taxes,8,0,8,10,0,10,8,0,8,2
City Commissioners (Election Board),95,0,95,98,0,98,91,0,91,7
City Council,182,0,182,195,0,195,175,0,175,20
City Planning Commission,33,3,36,38,4,42,34,4,38,4
City Representative,6,0,6,7,0,7,6,0,6,1
City Treasurer,13,0,13,14,0,14,14,0,14,0
Civil Service Commission,2,0,2,2,0,2,2,0,2,o
Commerce,23,731,754,24,866,890,18,751,769,121
District Attorney - Total,410,110,520,422,155,577,414,106,520,57
Civilian,396,101,497,411,133,544,400,98,498,46
Uniform,14,9,23,11,22,33,14,8,22,11
Finance,140,3,143,146,0,146,156,0,156,(10)
Fire Total,"2,146",72,"2,218","2,229",76,"2,305","2,072",75,"2,147",158
Uniform,"2,042",70,"2,112","2,119",72,"2,191","1,969",71,"2,040",151
Civilian,104,2,106,110,4,114,103,4,107,7
First Judicial District,"1,869",503,"2,372","1,909",562,"2,471","1,957",493,"2,450",21
Fleet Management,265,66,331,283,77,360,268,70,338,22
Free Library,619,63,682,641,80,721,608,38,646,75
Historical Commission,6,0,6,6,0,6,4,0,4,2
Human Relations Commission,30,0,30,32,0,32,29,0,29,3
Human Services (1),"1,668",48,"1,716",807,"1,095","1,902",804,830,"1,634",268
"Labor Relations, Mayor's Office of",6,0,6,8,0,8,8,0,8,0
Law,160,55,215,148,56,204,105,55,160,44
