0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2020,,,,,FISCAL YEAR 2021,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,64,0,64,68,0,68,61,0,61,7
Office of Children and Families,40,0,40,3,0,3,3,0,3,0
Office of Homeless Services,151,24,175,143,48,191,126,45,171,20
Office of Human Resources,79,0,79,75,0,75,78,0,78,(3)
Office of Innovation and Technology,317,97,414,358,124,482,303,100,403,79
Office of the Inspector General,16,0,16,19,0,19,16,0,16,3
Office of Property Assessment,195,0,195,220,0,220,193,0,193,27
Office of Sustainability,7,1,8,12,1,13,8,1,9,4
Parks and Recreation,647,25,672,748,32,780,632,23,655,125
Planning & Development,55,53,108,62,58,120,53,53,106,14
Police Total,"7,175",164,"7,339","7,304",152,"7,456","7,031",157,"7,188",268
Civilian,803,11,814,924,11,935,800,11,811,124
Uniform,"6,372",153,"6,525","6,380",141,"6,521","6,231",146,"6,377",144
Prisons,"1,975",0,"1,975","2,006",0,"2,006","1,822",0,"1,822",184
Procurement,42,1,43,42,2,44,37,2,39,5
Public Health,739,146,885,818,187,"1,005",719,163,882,123
Public Property,119,0,119,176,0,176,146,0,146,30
Records,51,0,51,55,0,55,49,0,49,6
Register of Wills,66,0,66,70,0,70,70,0,70,0
Revenue,402,205,607,436,232,668,398,196,594,74
Sheriff,385,0,385,428,0,428,380,0,380,48
Streets,"1,925",1,"1,926","1,903",0,"1,903","1,864",0,"1,864",39
Water,0,"1,989","1,989",0,"2,281","2,281",0,"1,910","1,910",371
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,422","5,917","28,339","23,980","6,609","30,589","22,120","5,637","27,757","2,832"
