0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2008,,,,,FISCAL YEAR 2009,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,356,18,374,374,17,391,359,17,376,15
Managing Director (MDO),95,9,104,163,3,166,94,5,99,67
Mayor,72,3,75,84,3,87,74,3,77,10
Mayor's Office of Comm. Svcs.,22,159,181,0,95,95,0,155,155,(60)
Mayor's Office of Transportation,0,0,0,6,0,6,4,0,4,2
Mural Arts Program,12,0,12,16,0,16,12,0,12,4
Off. of Behavioral Hith/Mental Retard. Svcs.,28,234,262,33,264,297,27,236,263,34
Off.ot Supportive Housing,126,49,175,138,55,193,129,46,175,18
Office of Housing and Community Develop.,0,79,79,o,90,90,0,80,80,10
Personnel,68,0,68,78,0,78,67,0,67,11
Police Total,"7,367",164,"7,531","7,735",166,"7,901","7,493",165,"7,658",243
Civilian,837,9,846,911,11,922,883,11,894,28
Uniform,"6,530",155,"6,685","6,824",155,"6,979","6,610",154,"6,764",215
Prisons,"2,131",0,"2,131","2,400",0,"2,400","2,161",0,"2,161",239
Procurement,58,3,61,62,3,65,57,3,60,5
Public Health,665,215,880,757,251,"1,008",693,218,911,97
Public Property,165,0,165,178,0,178,165,o,165,13
Records,70,0,70,76,0,76,69,0,69,7
Recreation,464,21,485,517,25,542,475,20,495,47
Register of Wills,68,0,68,70,0,70,68,0,68,2
Revenue,252,222,474,271,260,531,249,219,468,63
Sheriff,238,0,238,263,0,263,241,0,241,22
Streets,591,1,592,625,0,625,602,0,602,23
Streets Sanitation,"1,248",0,"1,248","1,341",o,"1,341","1,218",0,"1,218",123
Water,o,"1,758","1,758",0,"1,988","1,988",o,"1,737","1,737",251
Youth Commission,0,0,0,1,o,1,o,0,o,1
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,0,o,o,2,0,2,o,o,0,2
,,,,,,,,,,
TOTAL ALL FUNDS,"23,111","4,642","27,753","24,661","5,277","29,938","23,330","4,620","27,950","1,988"
