0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2009,,,,,FISCAL YEAR,2010,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,3,0,3,4,0,4,(1)
Auditing (City Controller's Office),124,0,124,123,0,123,121,0,121,2
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,9,0,9,10,0,10,8,o,8,2
Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Bd. of Pensions,0,67,67,0,74,74,0,68,68,6
Bd. of Revision of Taxes,133,0,133,125,0,125,119,0,119,6
Camp William Penn,1,0,1,0,o,0,1,0,1,(1)
"Capital Program Office, Mayor-",24,0,24,0,0,0,0,0,o,0
City Commissioners (Election Board),100,0,100,88,0,88,104,0,104,(16)
City Council,185,0,185,195,0,195,179,0,179,16
City Planning Commission,42,5,47,39,4,43,43,4,47,(4)
City Representative,6,0,6,7,0,7,7,o,7,0
City Treasurer,11,0,11,13,0,13,12,0,12,1
Civil Service Commission,2,0,2,2,o,2,2,0,2,0
Clerk of Quarter Sessions,110,0,110,115,0,115,107,o,107,8
Commerce,23,760,783,19,910,929,20,739,759,170
District Attorney - Total,441,113,554,449,121,570,416,107,523,47
Civilian,429,103,532,435,97,532,406,95,501,31
Uniform,12,10,22,14,24,38,10,12,22,16
Division of Technology,146,16,162,157,16,173,155,16,171,2
Fairmount Park,159,1,160,170,1,171,156,1,157,14
Finance,143,6,149,141,0,141,138,4,142,(1)
Fire Total,"2,259",68,"2,327","2,328",76,"2,404","2,206",69,"2,275",129
Uniform,"2,157",64,"2,221","2,217",72,"2,289","2,101",65,"2,166",123
Civilian,102,4,106,111,4,115,105,4,109,6
First Judicial District,"1,898",451,"2,349","1,965",531,"2,496","1,752",537,"2,289",207
Fleet Management,302,57,359,309,77,386,295,55,350,36
Free Library,629,87,716,628,90,718,595,75,670,48
Historical Commission,6,0,6,6,o,6,6,0,6,0
Human Relations Commission,34,0,34,33,0,33,33,0,33,0
Human Services,"1,741",66,"1,807","1,858",54,"1,912","1,777",48,"1,825",87
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,182,53,235,203,61,264,177,58,235,29
