0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2017,,,,,FISCAL YEAR 2018,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,55,0,55,62,0,62,58,0,58,4
Office of Community Schools and Pre-K,32,0,32,36,0,36,28,0,28,8
Office of Homeless Services,146,18,164,157,25,182,148,27,175,7
Office of Housing & Comm. Development,0,48,48,0,0,0,0,0,0,0
Office of Human Resources,85,0,85,81,0,81,72,0,72,9
Office of Innovation and Technology,274,88,362,294,107,401,281,92,373,28
Office of the Inspector General,18,0,18,19,0,19,18,0,18,1
Office of Planning and Development,4,0,4,0,0,0,0,0,0,0
Office of Property Assessment,199,0,199,223,0,223,192,0,192,31
Office of Sustainability,7,1,8,8,1,9,7,0,7,2
Parks and Recreation,607,22,629,748,24,772,648,27,675,97
Planning & Development,0,0,0,47,57,104,42,52,94,10
Police Total,"6,986",162,"7,148","7,371",166,"7,537","7,048",162,"7,210",327
Civilian,812,10,822,846,11,857,790,11,801,56
Uniform,"6,174",152,"6,326","6,525",155,"6,680","6,258",151,"6,409",271
Prisons,"2,277",0,"2,277","2,325",0,"2,325","2,199",0,"2,199",126
Procurement,44,2,46,51,2,53,45,2,47,6
Public Health,687,154,841,826,219,"1,045",704,149,853,192
Public Property,146,0,146,158,0,158,141,0,141,17
Records,57,0,57,63,0,63,56,0,56,7
Register of Wills,72,0,72,74,0,74,69,0,69,5
Revenue,402,241,643,436,232,668,404,245,649,19
Sheriff,348,0,348,408,0,408,361,0,361,47
Streets,"1,702",1,"1,703","1,819",0,"1,819","1,676",0,"1,676",143
Water,0,"1,812","1,812",0,"2,072","2,072",0,"1,832","1,832",240
Water Rate Board,0,0,0,0,1,1,0,0,0,1
Youth Commission,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,610","5,849","27,459","23,411","6,440","29,851","21,646","5,825","27,471","2,380"
