0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2010,,,,,FISCAL YEAR 2011,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,305,11,316,320,16,336,278,12,290,46
Managing Director (MDO),112,15,127,122,8,130,119,13,132,(2)
Mayor,38,3,41,39,3,42,35,4,39,3
Mayor - Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,15,0,15,19,0,19,14,0,14,5
Mayor's Office of Comm. Svcs.,0,75,75,0,88,88,0,76,76,12
Mayor's Office of Transportation,8,1,9,8,0,8,8,2,10,(2)
Mural Arts Program,12,0,12,12,0,12,11,0,11,1
Off. of Behavioral Hith/Mental Retard. Svcs.,22,236,258,24,272,296,20,230,250,46
Office of Human Resources,53,0,53,79,0,79,69,0,69,10
Office of Property Assessment (1),0,0,0,0,0,0,134,0,134,(134)
Off. of Supportive Housing,124,44,168,132,56,188,115,43,158,30
Office of Housing and Community Develop.,0,74,74,0,77,77,0,72,72,5
Parks and Recreation,435,21,456,689,27,716,593,22,615,101
Police Total,"7,378",168,"7,546","7,470",216,"7,686","7,246",170,"7,416",270
Civilian,782,16,798,846,11,857,775,16,791,66
Uniform,"6,596",152,"6,748","6,624",205,"6,829","6,471",154,"6,625",204
Prisons,"2,254",0,"2,254","2,360",0,"2,360","2,202",0,"2,202",158
Procurement,46,2,48,50,2,52,42,2,44,8
Public Health,662,213,875,742,285,"1,027",661,203,864,163
Public Property,123,0,123,136,0,136,123,0,123,13
Records,59,0,59,63,0,63,55,0,55,8
Register of Wills,63,0,63,64,0,64,62,0,62,2
Revenue,250,236,486,262,260,522,248,233,481,41
Sheriff,230,0,230,245,0,245,220,0,220,25
Streets,523,0,523,555,0,555,511,0,511,44
Streets - Sanitation,"1,170",0,"1,170","1,271",0,"1,271","1,140",0,"1,140",131
Water,0,"1,672","1,672",0,"1,898","1,898",0,"1,627","1,627",271
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,297","4,566","26,863","23,339","5,358","28,697","21,995","4,562","26,557","2,274"
