0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2021,,,,,FISCAL YEAR 2022,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,59,0,59,77,0,77,75,0,75,2
Office of Children and Families,3,0,3,3,0,3,2,0,2,1
Office of Homeless Services,127,43,170,162,50,212,114,23,137,75
Office of Human Resources,75,0,75,80,0,80,73,0,73,7
Office of Innovation and Technology,313,102,415,364,127,491,300,103,403,88
Office of the Inspector General,18,0,18,19,0,19,16,0,16,3
Office of Property Assessment,190,0,190,223,0,223,177,0,177,46
Office of Sustainability,8,2,10,12,1,13,11,2,13,0
Parks and Recreation,644,26,670,763,32,795,613,27,640,155
Planning & Development,55,51,106,62,62,124,54,52,106,18
Police Total,"6,869",150,"7,019","7,304",148,"7,452","6,651",141,"6,792",660
Civilian,816,11,827,924,11,935,799,10,809,126
Uniform,"6,053",139,"6,192","6,380",137,"6,517","5,852",131,"5,983",534
Prisons,"1,620",0,"1,620","2,186",0,"2,186","1,393",0,"1,393",793
Procurement,35,2,37,42,2,44,35,2,37,7
Public Health,716,182,898,822,195,"1,017",689,171,860,157
Public Property,142,0,142,156,0,156,133,0,133,23
Records,51,0,51,54,0,54,54,0,54,0
Register of Wills,70,0,70,71,0,71,67,0,67,4
Revenue,386,193,579,399,221,620,328,167,495,125
Sheriff,367,0,367,428,0,428,343,0,343,85
Streets,"1,941",0,"1,941","2,045",0,"2,045","2,072",1,"2,073",(28)
Water,0,"1,922","1,922",0,"2,314","2,314",0,"1,924","1,924",390
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,630","5,579","27,209","24,438","6,595","31,033","21,042","5,377","26,419","4,614"
