0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2011,,,,,FISCAL YEAR 2012,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),113,0,113,122,0,122,113,0,113,9
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,8,0,8,9,0,9,8,0,8,1
Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Board of Pensions,0,65,65,0,79,79,0,63,63,16
Board of Revision of Taxes,8,0,8,10,0,10,9,0,9,1
City Commissioners (Election Board),95,0,95,98,0,98,94,0,94,4
City Council,182,0,182,195,0,195,182,0,182,13
City Planning Commission,33,3,36,38,4,42,34,4,38,4
City Representative,6,0,6,7,0,7,6,0,6,1
City Treasurer,13,0,13,14,0,14,14,0,14,0
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,23,731,754,24,866,890,23,743,766,124
District Attorney - Total,410,110,520,422,155,577,403,109,512,65
Civilian,396,101,497,411,133,544,389,101,490,54
Uniform,14,9,23,11,22,33,14,8,22,11
Finance,140,3,143,146,0,146,141,3,144,2
Fire Total,"2,146",72,"2,218","2,229",76,"2,305","2,127",72,"2,199",106
Uniform,"2,042",70,"2,112","2,119",72,"2,191","2,025",69,"2,094",97
Civilian,104,2,106,110,4,114,102,3,105,9
First Judicial District,"1,869",503,"2,372","1,909",562,"2,471","1,911",510,"2,421",50
Fleet Management,265,66,331,283,77,360,269,70,339,21
Free Library,619,63,682,641,80,721,622,52,674,47
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,30,0,30,32,0,32,31,0,31,1
Human Services (1),"1,668",48,"1,716",0,"1,902","1,902",0,"1,665","1,665",237
"Labor Relations, Mayor's Office of",6,0,6,8,0,8,8,0,8,0
Law,160,55,215,148,56,204,130,54,184,20
