0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2021,,,,,FISCAL YEAR 2022,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),118,0,118,135,0,135,114,0,114,21
Board of Ethics,9,0,9,10,0,10,8,0,8,2
Board of Pensions,0,55,55,0,73,73,0,56,56,17
Board of Revision of Taxes,15,0,15,16,0,16,14,0,14,2
City Commissioners (Election Board),137,0,137,106,0,106,123,0,123,(17)
City Council,182,0,182,188,0,188,180,0,180,8
City Representative,0,0,0,0,0,0,0,0,0,0
City Treasurer,16,0,16,18,0,18,17,0,17,1
Civil Service Commission,1,0,1,2,0,2,2,0,2,0
Commerce,37,730,767,51,752,803,31,639,670,133
District Attorney Total,521,98,619,540,103,643,531,98,629,14
Civilian,486,91,577,508,97,605,496,91,587,18
Uniform,35,7,42,32,6,38,35,7,42,(4)
Finance,119,0,119,132,0,132,118,0,118,14
Fire Total,"2,678",77,"2,755","3,368",80,"3,448","2,709",77,"2,786",662
Civilian,114,2,116,177,3,180,109,1,110,70
Uniform,"2,564",75,"2,639","3,191",77,"3,268","2,600",76,"2,676",592
First Judicial District,"1,773",452,"2,225","1,822",499,"2,321","1,700",415,"2,115",206
Fleet Services,268,67,335,315,84,399,263,62,325,74
Free Library,634,11,645,715,13,728,630,10,640,88
Human Relations Commission,32,0,32,33,0,33,30,0,30,3
Human Services (1),492,972,"1,464",492,"1,338","1,830",492,"1,006","1,498",332
Labor,26,0,26,39,0,39,25,0,25,14
Law,127,48,175,180,51,231,173,54,227,4
Licenses & Inspections,372,8,380,426,8,434,345,8,353,81
L&I-Board of Building Standards,1,0,1,1,0,1,0,0,0,1
L&I-Board of L & I Review,1,0,1,2,0,2,2,0,2,0
Managing Director's Office,290,125,415,456,127,583,300,106,406,177
Mayor's Office,61,3,64,62,3,65,58,4,62,3
Mayor's Office-Comm. Empowerment & Opp.,0,29,29,0,37,37,0,29,29,8
Mural Arts Program,8,0,8,10,0,10,9,0,9,1
Office of Arts and Culture,0,0,0,0,0,0,0,0,0,0
Office of Behavioral Hlth & Intellectual disAbility,23,230,253,47,274,321,27,231,258,63
