0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,o,4,5,0,5,4,0,4,1
Auditing (City Controller's Office),120,0,120,140,0,140,126,0,126,14
Board of Building Standards,2,O,2,2,0,2,2,0,2,0
Board of Ethics,0,0,0,9,0,9,3,0,3,6
Board of L & I Review,3,0,3,3,0,3,3,0,3,0
Bd. of Pensions,0,65,65,0,81,81,0,68,68,13
Bd. of Revision of Taxes,128,0,128,138,0,138,126,0,126,12
Camp William Penn,3,0,3,4,0,4,3,0,3,1
"Capital Program Office, Mayor-",14,0,14,24,0,24,23,O,23,1
City Commissioners (Election Board),90,0,90,88,0,88,88,0,88,0
City Council,187,0,187,195,0,195,187,0,187,8
City Planning Commission,44,6,50,49,4,53,44,6,50,3
City Rep. / Commerce,12,745,757,16,951,967,13,737,750,217
City Treasurer,11,0,11,13,0,13,11,0,11,2
Civil Service Commission,2,0,2,2,0,2,2,O,2,0
Clerk of Quarter Sessions,114,0,114,121,0,121,112,0,112,9
District Attorney - Total,424,111,535,442,144,586,453,111,564,22
Civilian,414,99,513,425,120,545,441,100,541,4
Uniform,10,12,22,17,24,41,12,11,23,18
Fairmount Park,155,1,156,169,1,170,156,1,157,13
Finance,164,10,174,169,8,177,159,12,171,6
Fire Total,"2,399",58,"2,457","2,425",78,"2,503","2,358",56,"2,414",89
Uniform,"2,302",54,"2,356","2,315",74,"2,389","2,259",52,"2,311",78
Civilian,97,4,101,110,4,114,99,4,103,11
First Judicial District,"1,928",485,"2,413","1,920",533,"2,453","1,956",467,"2,423",30
Fleet Management,300,69,369,321,77,398,308,68,376,22
Free Library,724,75,799,739,95,834,732,73,805,29
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,35,0,35,34,0,34,33,0,33,1
Human Services,"1,721",54,"1,775","1,817",63,"1,880","1,751",40,"1,791",89
"Information Services, Mayor's Office of",112,16,128,153,17,170,134,16,150,20
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,193,55,248,182,63,245,180,59,239,6
