0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2019,,,,,FISCAL YEAR 2020,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,56,0,56,74,0,74,58,0,58,16
Office of Education,32,0,32,47,1,48,40,0,40,8
Office of Homeless Services,151,23,174,160,34,194,153,23,176,18
Office of Human Resources,77,0,77,88,0,88,80,0,80,8
Office of Innovation and Technology,277,92,369,316,126,442,299,88,387,55
Office of the Inspector General,18,0,18,21,0,21,17,0,17,4
Office of Property Assessment,196,0,196,251,0,251,194,0,194,57
Office of Sustainability,9,2,11,9,1,10,7,1,8,2
Parks and Recreation,647,27,674,759,32,791,641,24,665,126
Planning & Development,56,53,109,62,56,118,56,54,110,8
Police Total,"7,241",161,"7,402","7,443",166,"7,609","7,229",165,"7,394",215
Civilian,801,11,812,868,11,879,821,11,832,47
Uniform,"6,440",150,"6,590","6,575",155,"6,730","6,408",154,"6,562",168
Prisons,"2,130",0,"2,130","2,160",0,"2,160","2,032",0,"2,032",128
Procurement,41,2,43,50,2,52,43,1,44,8
Public Health,752,149,901,839,186,"1,025",753,147,900,125
Public Property,135,0,135,149,0,149,120,0,120,29
Records,55,0,55,59,0,59,53,0,53,6
Register of Wills,70,0,70,70,0,70,68,0,68,2
Revenue,405,206,611,458,232,690,409,205,614,76
Sheriff,355,0,355,428,0,428,378,0,378,50
Streets,"1,736",0,"1,736","1,982",0,"1,982","1,929",1,"1,930",52
Water,0,"1,891","1,891",0,"2,242","2,242",0,"1,950","1,950",292
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,210","5,873","28,083","23,774","6,742","30,516","22,650","5,812","28,462","2,054"
