0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2018,,,,,FISCAL YEAR 2019,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,0,0,0,0,0,0,0
Auditing (City Controller's Office),116,0,116,134,0,134,126,0,126,8
Board of Ethics,10,0,10,12,0,12,9,0,9,3
Board of Pensions,0,56,56,0,73,73,0,58,58,15
Board of Revision of Taxes,11,0,11,15,0,15,12,0,12,3
City Commissioners (Election Board),100,0,100,105,0,105,97,0,97,8
City Council,192,0,192,195,0,195,193,0,193,2
City Representative,9,0,9,9,0,9,9,0,9,0
City Treasurer,15,0,15,16,0,16,15,0,15,1
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,31,822,853,32,910,942,51,808,859,83
District Attorney - Total,455,73,528,513,76,589,494,74,568,21
Civilian,416,62,478,470,64,534,457,63,520,14
Uniform,39,11,50,43,12,55,37,11,48,7
Finance,115,0,115,123,0,123,113,0,113,10
Fire Total,"2,511",74,"2,585","2,672",179,"2,851","2,540",78,"2,618",233
Civilian,119,3,122,141,3,144,113,3,116,28
Uniform,"2,392",71,"2,463","2,531",176,"2,707","2,427",75,"2,502",205
First Judicial District,"1,867",509,"2,376","1,841",493,"2,334","1,842",500,"2,342",(8)
Fleet Management,281,74,355,306,83,389,285,77,362,27
Free Library,649,12,661,692,16,708,640,11,651,57
Human Relations Commission,32,0,32,34,0,34,32,0,32,2
Human Services (1),517,"1,026","1,543",460,"1,330","1,790",386,"1,153","1,539",251
"Labor, Mayor's Office of",20,0,20,23,0,23,23,0,23,0
Law,121,50,171,129,54,183,127,55,182,1
Licenses & Inspections,396,0,396,429,9,438,378,8,386,52
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,307,57,364,312,57,369,298,57,355,14
Mayor's Office,41,3,44,53,3,56,50,9,59,(3)
Mayor's Off. of Comm Empowerment/Oppor.,2,30,32,0,36,36,0,24,24,12
Mural Arts Program,11,0,11,12,0,12,10,0,10,2
Office of Arts and Culture,5,0,5,5,0,5,8,0,8,(3)
Office of Behavioral Hith/Intel. disAbility,16,240,256,16,261,277,15,246,261,16
