0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2017,,,,,FISCAL YEAR 2018,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,55,0,55,62,0,62,60,2,62,0
Office of Community Schools and Pre-K,32,0,32,36,0,36,32,0,32,4
Office of Homeless Services,146,18,164,157,25,182,149,28,177,5
Office of Housing & Comm. Development,0,48,48,0,0,0,0,0,0,0
Office of Human Resources,85,0,85,81,0,81,74,0,74,7
Office of Innovation and Technology,274,88,362,294,107,401,286,94,380,21
Office of the Inspector General,18,0,18,19,0,19,21,0,21,(2)
Office of Planning and Development,4,0,4,0,0,0,0,0,0,0
Office of Property Assessment,199,0,199,223,0,223,194,0,194,29
Office of Sustainability,7,1,8,8,1,9,7,0,7,2
Parks and Recreation,607,22,629,748,24,772,641,28,669,103
Planning & Development,0,0,0,47,57,104,45,52,97,7
Police Total,"6,986",162,"7,148","7,371",166,"7,537","7,127",159,"7,286",251
Civilian,812,10,822,846,11,857,779,10,789,68
Uniform,"6,174",152,"6,326","6,525",155,"6,680","6,348",149,"6,497",183
Prisons,"2,277",0,"2,277","2,325",0,"2,325","2,220",0,"2,220",105
Procurement,44,2,46,51,2,53,43,2,45,8
Public Health,687,154,841,826,219,"1,045",718,159,877,168
Public Property,146,0,146,158,0,158,139,0,139,19
Records,57,0,57,63,0,63,56,0,56,7
Register of Wills,72,0,72,74,0,74,71,0,71,3
Revenue,402,241,643,436,232,668,398,218,616,52
Sheriff,348,0,348,408,0,408,367,0,367,41
Streets,"1,702",1,"1,703","1,819",0,"1,819","1,678",0,"1,678",141
Water,0,"1,812","1,812",0,"2,072","2,072",0,"1,886","1,886",186
Water Rate Board,0,0,0,0,1,1,0,0,0,1
Youth Commission,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,610","5,849","27,459","23,411","6,440","29,851","22,066","5,732","27,798","2,053"
