0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2019,,,,,FISCAL YEAR 2020,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,56,0,56,74,0,74,66,0,66,8
Office of Education,32,0,32,47,1,48,34,0,34,14
Office of Homeless Services,151,23,174,160,34,194,150,21,171,23
Office of Human Resources,77,0,77,88,0,88,78,0,78,10
Office of Innovation and Technology,277,92,369,316,126,442,290,96,386,56
Office of the Inspector General,18,0,18,21,0,21,19,0,19,2
Office of Property Assessment,196,0,196,251,0,251,192,0,192,59
Office of Sustainability,9,2,11,9,1,10,8,0,8,2
Parks and Recreation,647,27,674,759,32,791,661,28,689,102
Planning & Development,56,53,109,62,56,118,59,52,111,7
Police Total,"7,241",161,"7,402","7,443",166,"7,609","7,281",163,"7,444",165
Civilian,801,11,812,868,11,879,804,11,815,64
Uniform,"6,440",150,"6,590","6,575",155,"6,730","6,477",152,"6,629",101
Prisons,"2,130",0,"2,130","2,160",0,"2,160","2,095",0,"2,095",65
Procurement,41,2,43,50,2,52,42,2,44,8
Public Health,752,149,901,839,186,"1,025",749,151,900,125
Public Property,135,0,135,149,0,149,132,0,132,17
Records,55,0,55,59,0,59,55,0,55,4
Register of Wills,70,0,70,70,0,70,71,0,71,(1)
Revenue,405,206,611,458,232,690,406,207,613,77
Sheriff,355,0,355,428,0,428,360,0,360,68
Streets,"1,736",0,"1,736","1,982",0,"1,982","1,859",0,"1,859",123
Water,0,"1,891","1,891",0,"2,242","2,242",0,"1,971","1,971",271
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,210","5,873","28,083","23,774","6,742","30,516","22,598","5,945","28,543","1,973"
